Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,36.747459,38.944569,36.747459,38.944569,29.684193,28802010
04-01-2000,39.981236,42.062302,38.882679,42.062302,32.060585,61320457
05-01-2000,39.710464,44.545658,39.710464,43.710136,33.316597,173426953
06-01-2000,44.715855,46.52615,44.715855,45.54364,34.714115,101355113
07-01-2000,45.644211,49.187443,45.334759,48.669109,37.096405,128426756
10-01-2000,49.110077,49.311222,47.237892,47.733013,36.382893,86714866
11-01-2000,47.647915,48.112095,43.919018,44.638493,34.0242,81074352
12-01-2000,44.715855,47.191475,43.655979,46.680878,35.580936,78264129
13-01-2000,47.346199,48.955353,47.052219,48.251347,36.777981,110363002
14-01-2000,47.887741,49.767666,47.887741,48.93988,37.302795,86996234
17-01-2000,49.241596,49.961071,47.508663,47.771698,36.412376,69343031
18-01-2000,47.810379,49.349903,47.276573,48.614956,37.055122,65168824
19-01-2000,49.953335,50.270523,48.924408,49.450478,37.691975,74204601
20-01-2000,49.512367,50.270523,48.050205,48.406075,36.895905,99716250
21-01-2000,48.382866,50.812065,48.274555,50.494877,38.488037,110757441
24-01-2000,50.363361,51.345871,49.821819,50.463932,38.464443,85074833
25-01-2000,50.293732,50.332417,49.241596,49.504631,37.733246,63033619
26-01-2000,49.504631,49.504631,49.504631,49.504631,37.733246,0
27-01-2000,50.9049,52.111767,49.930126,51.825523,39.502266,97039553
28-01-2000,51.972511,52.900867,51.30719,52.351589,39.903252,75838844
31-01-2000,51.748158,51.987984,50.525822,50.773384,38.700321,65866896
01-02-2000,51.183407,52.212337,50.750175,51.686268,39.396126,69204877
02-02-2000,53.055595,53.6745,52.382538,52.630096,40.115532,64312647
03-02-2000,52.91634,53.14843,52.049873,52.862186,40.292435,43764594
04-02-2000,53.225792,53.744125,52.869923,53.249001,40.587276,45932185
07-02-2000,52.777088,54.06905,52.305172,53.163902,40.522411,52955762
08-02-2000,53.457882,53.6745,52.769352,52.978233,40.380894,41561566
09-02-2000,53.999424,54.873627,53.349575,54.216042,41.32436,73916538
10-02-2000,53.968479,56.289371,53.365047,55.043827,41.955322,69752781
11-02-2000,56.320316,57.867577,55.709148,56.212009,42.845726,52710076
14-02-2000,55.546684,55.840664,54.154148,54.479076,41.52486,33138542
15-02-2000,54.463604,54.834946,52.924076,53.279949,40.610863,52507848
16-02-2000,54.154148,54.742111,53.08654,53.867908,41.059013,50905372
17-02-2000,53.798279,55.206287,53.767334,54.858154,41.813797,49576753
18-02-2000,55.22176,55.384224,53.8447,54.06905,41.212326,32513360
21-02-2000,53.90659,54.463604,52.862186,53.481091,40.764175,19029776
22-02-2000,53.535248,53.689972,51.446442,51.732685,39.431511,46483688
23-02-2000,53.334103,53.334103,50.641869,51.028683,38.894901,31227592
24-02-2000,51.508331,52.715199,50.951321,52.104031,39.71455,36605791
25-02-2000,52.823505,53.055595,50.456196,50.84301,38.753376,25284007
28-02-2000,50.262787,52.181393,47.965103,51.539276,39.284088,32483223
29-02-2000,52.281963,53.047859,47.415829,48.096622,36.660046,64437118
01-03-2000,48.738735,51.036419,46.263119,49.017242,37.361752,69580276
02-03-2000,49.334431,49.821819,45.102673,45.141354,34.407486,81022150
03-03-2000,44.267151,44.267151,41.536232,41.536232,31.659603,29967630
06-03-2000,41.536232,43.919018,38.217358,39.292706,29.949558,67414030
07-03-2000,39.764618,40.07407,37.134274,37.490143,28.575603,61789492
08-03-2000,38.201885,38.7589,35.587013,36.043453,27.472916,46898188
09-03-2000,36.499897,37.505615,34.681866,35.788158,27.278328,35842630
10-03-2000,36.205917,36.329697,33.204231,33.552364,25.574171,42637713
13-03-2000,34.024281,35.509651,30.991646,31.440351,23.964357,69577129
14-03-2000,31.796223,33.962387,30.504259,33.91597,25.851309,65317454
15-03-2000,34.658657,36.631413,33.420849,36.631413,27.921068,36911809
16-03-2000,37.056911,38.341137,35.602486,36.337437,27.696995,68277374
17-03-2000,36.337437,36.337437,36.337437,36.337437,27.696995,0
20-03-2000,36.337437,36.337437,36.337437,36.337437,27.696995,0
21-03-2000,36.948605,37.567509,35.215672,36.809349,28.0567,44194444
22-03-2000,37.907906,38.449448,37.319946,37.660343,28.705339,31873171
23-03-2000,37.946587,38.031685,36.90992,37.281265,28.416397,27701407
24-03-2000,37.010494,37.590717,36.770668,37.227112,28.37512,17048508
27-03-2000,37.598454,40.205589,37.598454,40.205589,30.645372,26767719
28-03-2000,40.708447,43.423893,40.708447,43.423893,33.098415,45414179
29-03-2000,44.066006,44.85511,41.621334,41.977203,31.99572,66425961
30-03-2000,41.621334,45.334759,39.965763,45.334759,34.554909,110959424
31-03-2000,45.953667,48.963089,43.338795,48.963089,37.320484,127348768
03-04-2000,50.696022,51.632114,49.218388,50.84301,38.753376,138005247
